"About the data: Exported on Dec 17, 2020. Criteria: Text - '""nuclear deterrence"" OR ""military deterrence"" OR ""conventional deterrence"" OR ""hybrid deterrence"" OR ""cyber deterrence"" OR cyberdeterrence' in title and abstract. © 2020 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,
Publication ID,DOI,Title,Abstract,Source title/Anthology title,PubYear,Volume,Issue,Pagination,Authors,Authors Affiliations - Name of Research organization,Authors Affiliations - Country of Research organization,Dimensions URL,Times cited,Cited references
pub.1130267933,10.1515/9780804792820-016,12. Nuclear Deterrence in Northeast Asia,,Strategy in Asia,2020,,,205-224,"Chase, Michael S.",,,https://app.dimensions.ai/details/publication/pub.1130267933,0,
pub.1130244215,10.1093/oso/9780190055295.003.0004,International Affairs,"This chapter explores how the use of military threats—that is, deterrence—has operated between and among nations. It begins with a brief history of conventional deterrence aimed at preventing wars by threatening either that an initial attack will fail to gain its objective (deterrence by denial) or that an attacker will be sufficiently punished so as to regret the initial action and thus prevent such an attack in the first place (deterrence by punishment). This leads to the self-serving phenomenon of bureaucratic “threat inflation” and then to the most consequential uses and abuses of threats: nuclear deterrence. The chapter then discusses how nuclear deterrence is supposed to work and whether it has in fact worked. It also provides a critical analysis of the strengths and weaknesses of nuclear deterrence.",Threats,2020,,,121-216,"Barash, David P.",,,https://app.dimensions.ai/details/publication/pub.1130244215,0,
pub.1130244212,10.1093/oso/9780190055295.003.0001,A Nonthreatening Start,"This chapter provides an overview of threats. Threats are ubiquitous; they are so encompassing that they often go unnoticed. Although people are especially aware of explicit threats, other threats are often hidden, leaving most of the interpersonal ones implicit and therefore psychologically fraught. Warnings, in contrast, can be impersonal and not necessarily conveyed by an individual. But sometimes, threats and warnings are indistinguishable. This book begins by going through the biology of threats as conveyed and received by animals, followed by a variety of socially mediated threats intended to prevent crime, along with such consequential threats as hellfire and brimstone, personal death, and gun violence and the rise of right-wing national populism, and culminates in a critical look at nuclear deterrence—the premier manifestation of threat at the international level. Of particular note is how responses to threats often become counterproductive: hardly at all in the case of animals, occasionally in the personal and social realm, and then overwhelmingly when it comes to nuclear deterrence.",Threats,2020,,,1-6,"Barash, David P.",,,https://app.dimensions.ai/details/publication/pub.1130244212,0,
pub.1133213500,10.4337/cilj.2020.02.05,"Creating an Environment for Nuclear Disarmament (CEND): a good faith, effective measure pursuant to Article VI NPT or empty gesturing?","It has been 50 years since the adoption of the Treaty on the Non-Proliferation of Nuclear Weapons (NPT), which established the obligation upon all States Parties to work towards nuclear disarmament under Article VI. Yet, despite extensive reductions in nuclear weapons stockpiles since the Cold War peaks, nuclear arms control and disarmament efforts are currently in disarray. After the Intermediate-Range Nuclear Forces Treaty was terminated in 2019, the New Strategic Arms Reduction Treaty remains as the only bilateral limitation on United States (US) and Russian nuclear forces in operation and is due to expire in February 2021. The US has justified its limited nuclear disarmament progress on the premise that the current international security environment is not conducive to further nuclear disarmament. Instead, the US has recently promoted a new initiative called Creating an Environment for Nuclear Disarmament (CEND). The initiative aims to provide a platform for all States to engage in constructive dialogue to identify ways to improve the international security environment, which make nuclear deterrence necessary while addressing the hurdles that currently impede progress towards nuclear disarmament. Significantly, the US regards CEND as an ‘effective measure’ and an illustration of its commitment towards disarmament under Article VI. This article seeks to address the US claim that CEND represents a good faith, effective measure towards nuclear disarmament pursuant to Article VI. This will revisit existing doctrinal interpretative debates concerning the obligation under Article VI, particularly the requirements that negotiations and measures be adopted in good faith, and what constitutes an effective measure towards nuclear disarmament. The discussion will then determine whether the CEND initiative itself can be considered a good faith, effective measure towards nuclear disarmament, by considering its purpose, origins and implementation, and actions of the US.",Cambridge International Law Journal,2020,9,2,201-224,"Evans, Christopher P",University of Reading,United Kingdom,https://app.dimensions.ai/details/publication/pub.1133213500,0,
pub.1132967613,10.1515/sirius-2020-4002,Die (unvollkommene) Rückkehr der Abschreckung,"Abstract Russia’s annexation of Crimea and a new era of great power competition have led to a renaissance of deterrence as an important part of Western security and defence policy. However, this renaissance is marked by serious flaws, such as a high degree of alarmism injected largely by a new obsession with hybrid threats, and the contradiction of doubting the reliability of traditional military deterrence while at the same time seeking to extend the deterrence paradigm into the “grey area” of non-kinetic threats. Overall, the current deterrence debate appears to be a substitute for what should be a much broader debate on the future role of the US and the relationship between the West and its strategic competitors.",SIRIUS - Zeitschrift für Strategische Analysen,2020,4,4,387-398,"Rühle, Michael",North Atlantic Treaty Organization,Belgium,https://app.dimensions.ai/details/publication/pub.1132967613,0,"[de Wijk, Rob]|[ur.011262067654.49]|SIRIUS - Zeitschrift für Strategische Analysen|2018|2|1|3-20|10.1515/sirius-2018-0002|pub.1101631094|4;[Bergeron, James Henry]|[]|SIRIUS - Zeitschrift für Strategische Analysen|2018|2|1|21-31|10.1515/sirius-2018-0003|pub.1101636217|3;[Thomson, James A.]|[]|SIRIUS - Zeitschrift für Strategische Analysen|2018|2|1|1-8|10.1515/sirius-2018-0024|pub.1103895207|1;[Roberts, Brad]|[]|SIRIUS - Zeitschrift für Strategische Analysen|2018|2|2|170-177|10.1515/sirius-2018-2007|pub.1104587912|3;[Kroenig, Matthew]|[ur.016445765773.87]|SIRIUS - Zeitschrift für Strategische Analysen|2018|2|4|323-338|10.1515/sirius-2018-4002|pub.1110652204|4;[Halas, Matus]|[ur.015555406530.25]|European Security|2019|28|4|1-18|10.1080/09662839.2019.1637855|pub.1117966627|2;[Kroenig, Matthew]|[ur.07615147657.32]|Comparative Strategy|2020|39|4|401-403|10.1080/01495933.2020.1772635|pub.1128879120|1;[Willasey-Wilsey, Tim]|[ur.015732163051.18]|International Affairs|2020|96|5|1432-1433|10.1093/ia/iiaa149|pub.1130675121|1"
pub.1132967025,10.1515/sirius-2020-4005,Zur Bedeutung von Kernwaffen unter Bedingungen strategischer Rivalität – analytische Denkanstöße,"This article seeks to challenge sluggishness and wishful thinking in dealing with the issue of nuclear deterrence and to expose those tendencies to a reality check. Considering results of the latest research, the article offers methodological, conceptual, and empirical impulses to advance such an approach. On this basis, the article presents three key propositions to keep the current constellation of the European security order and its trajectories in perspective.",SIRIUS - Zeitschrift für Strategische Analysen,2020,4,4,435-450,"Lutsch, Andreas",Federal University of Applied Administrative Sciences,Germany,https://app.dimensions.ai/details/publication/pub.1132967025,0,"[Carranza, Mario E.]|[]|Contemporary Security Policy|2012|33|1|214-217|10.1080/13523260.2012.678678|pub.1011539736|1;[Glaser, Charles L.]|[]||1990||||10.1515/9781400862023|pub.1012950216|41;[PILAT, JOSEPH F.]|[]|International Affairs|2007|83|3|469-482|10.1111/j.1468-2346.2007.00632.x|pub.1013258934|4;[KRAUSE, JOACHIM]|[]|International Affairs|2007|83|3|483-499|10.1111/j.1468-2346.2007.00633.x|pub.1021467499|13;[Carranza, Mario E.]|[ur.011646762721.65]|Contemporary Security Policy|2016|37|3|1-7|10.1080/13523260.2016.1229715|pub.1025785792|3;[Williams, Heather]|[]|The RUSI Journal|2013|158|1|85-86|10.1080/03071847.2013.774648|pub.1032345308|1;[Long, Austin; Green, Brendan Rittenhouse]|[ur.010213004541.21; ur.011605745541.57]|Journal of Strategic Studies|2015|38|1-2|38-73|10.1080/01402390.2014.958150|pub.1032585623|33;[YOST, DAVID S.]|[ur.015025141276.03]|International Affairs|2007|83|3|427-430|10.1111/j.1468-2346.2007.00629.x|pub.1032662192|2;[ROBERTS, BRAD]|[]|International Affairs|2007|83|3|523-530|10.1111/j.1468-2346.2007.00636.x|pub.1039015707|2;[HASSNER, PIERRE]|[ur.012535045633.69]|International Affairs|2007|83|3|455-467|10.1111/j.1468-2346.2007.00631.x|pub.1040811097|8;[Bange, Oliver]|[]|Journal of Cold War Studies|2014|16|4|268-271|10.1162/jcws_r_00498|pub.1046765120|1;[Heuser, Beatrice]|[]|Contemporary European History|1998|7|3|311-327|10.1017/s0960777300004264|pub.1054010099|10;[Ravenal, Earl C.]|[ur.014713603462.51]|International Security|1982|6|4|26|10.2307/2538676|pub.1069980361|23;[]|[]|Choice|2016|53|11|53-5016-53-5016|10.5860/choice.196269|pub.1073284872|4;[]|[]|Choice|2012|49|10|49-5937-49-5937|10.5860/choice.49-5937|pub.1073453829|9;[Green, Brendan R.; Long, Austin]|[; ]|Security Studies|2017|26|4|606-641|10.1080/09636412.2017.1331639|pub.1090554015|10;[Brands, Hal]|[ur.013757074515.94]|Survival|2017|59|6|7-40|10.1080/00396338.2017.1399722|pub.1092802169|11;[Tertrais, Bruno]|[]|Survival|2018|60|2|33-44|10.1080/00396338.2018.1448560|pub.1101650999|5;[Pierre, Andrew J.; Kaplan, Fred]|[; ]|Foreign Affairs|1983|62|1|213|10.2307/20041753|pub.1102754585|3;[Smith, Gaddis; Neustadt, Richard E.; May, Ernest R.]|[ur.016125543276.46; ur.07422472076.08; ur.015657224521.43]|Foreign Affairs|1986|64|5|1115|10.2307/20042806|pub.1102755658|17;[Pierre, Andrew J.; Ball, Desmond; Richelson, Jeffrey]|[; ; ]|Foreign Affairs|1986|65|1|181|10.2307/20042875|pub.1102755671|4;[Treverton, Gregory F.; Jervis, Robert]|[; ]|Foreign Affairs|1989|68|5|207|10.2307/20044214|pub.1102756918|26;[Zysk, Katarzyna]|[]|The RUSI Journal|2018|163|2|1-12|10.1080/03071847.2018.1469267|pub.1104238750|3;[Wirtz, James J.]|[ur.011565643035.99]|Political Science Quarterly|2019|134|1|148-151|10.1002/polq.12895|pub.1112901111|1;[Harari, Yuval Noah]|[ur.01035100305.51]||2018||||10.17104/9783406727795|pub.1115183422|16;[Kamp, Karl-Heinz]|[]|SIRIUS - Zeitschrift für Strategische Analysen|2019|3|2|129-135|10.1515/sirius-2019-2003|pub.1116156053|2;[Brauß, Heinrich; Krause, Joachim]|[; ur.013222462071.67]|SIRIUS - Zeitschrift für Strategische Analysen|2019|3|2|154-166|10.1515/sirius-2019-2005|pub.1116156055|4;[Adomeit, Hannes]|[ur.015373414414.48]|SIRIUS - Zeitschrift für Strategische Analysen|2019|3|3|224-241|10.1515/sirius-2019-3002|pub.1120932762|3;[Krause, Joachim]|[]|SIRIUS - Zeitschrift für Strategische Analysen|2020|4|2|117-143|10.1515/sirius-2020-2002|pub.1128234729|2;[Larsen, Jeffrey A.; Kartchner, Kerry M.]|[ur.011342667426.85; ur.012326751747.11]||2014||||10.1515/9780804790918|pub.1129545739|8;[Cladi, Lorenzo]|[ur.01347274210.08]|Defence Studies|2020|||1-2|10.1080/14702436.2020.1848427|pub.1132567228|1"
pub.1132891492,10.1002/polq.13132,U.S. Geopolitics and Nuclear Deterrence in the Era of Great Power Competitions,,Political Science Quarterly,2020,,,,"RUDOLF, PETER",,,https://app.dimensions.ai/details/publication/pub.1132891492,0,
pub.1133134528,10.48015/2076-7404-2020-12-3-45-84,Lessons of World War II and Strategic Planning of the Big Three (1945–1949),"The paper examines how military and political leaders of the Soviet Union, the United States and Great Britain assessed in the first post-war years and in the face of emerging bipolar world order the lessons of World War II, how the latter influenced their strategic planning and forecasts with the emergence of nuclear weapons. The author outlines the key features of this period (1945–1949), including still fresh memories of the unprecedented destruction and losses of the past war, the US ‘nuclear monopoly’, and the absence of a system for nuclear deterrence. The paper provides a systematic comparison of lessons from the past war, learnt by the Soviet, the US and British establishment, identifies similarities and differences between them. The author concludes that WWII was perceived by the political and military leaders of that time as a model of the eventual ‘great war’ in the future, which almost certainly would be ‘total’ and ‘global’ in scope and would demand both thorough preparations during the peacetime and the militarization of civil life. Indeed, the experience of WWII had greatly influenced the strategic and operational planning in the USSR, the USA and Great Britain in 1945–1949. Moscow prepared to face the potential aggression on its Western borders or in the Far East in order to avoid the mistakes of 1941. In Washington the decisionmakers acknowledged the Soviet superiority in conventional weapons and didn’t exclude the possibility that the Soviet Army could quickly establish control over the Western Europe and that the US military would have to retake it in a ‘new Operation Overlord’. The pessimistic outlook of the ‘defense of the Rhine’ was also shared in London, and the British military planned to evacuate the troops to the British Isles (‘shadow of Dunkirk’) and to focus on strategic bombing of the USSR and its allies. Even the appearance of nuclear weapons, that would dramatically alter the strategic context in the following years, played a relatively minor role in 1945–1949. The author concludes that the shadow of World War II and its lessons had a long-lasting effect on the post-war international relations.",,2020,12,3,45-84,"Magadeev, I. E.",,,https://app.dimensions.ai/details/publication/pub.1133134528,0,"[Rosenberg, David Alan]|[]|Bulletin of the Atomic Scientists|1982|38|5|25-30|10.1080/00963402.1982.11455736|pub.1000728694|14;[Ross, Steven T.]|[]||2013||||10.4324/9781315037554|pub.1005167824|1;[Cornish, Paul]|[]||1996||||10.1007/978-1-349-24337-2|pub.1006626547|8;[Aronsen, L.]|[]|Intelligence & National Security|2001|16|2|103-132|10.1080/714002887|pub.1010422890|2;[Goodman, Michael]|[ur.011555331327.00]|Journal of Strategic Studies|2003|26|2|120-151|10.1080/01402390412331303005|pub.1015316624|5;[Johnston, Andrew M.]|[]|Diplomacy and Statecraft|2001|12|2|79-124|10.1080/09592290108406204|pub.1019071533|2;[Dockrill, Michael]|[]|Diplomacy and Statecraft|1990|1|1|49-70|10.1080/09592299008405782|pub.1028439404|4;[Copeland, Dale C.]|[ur.010450020323.55]|Security Studies|1996|5|3|29-89|10.1080/09636419608429276|pub.1043901890|12;[Reynolds, David]|[]|Diplomacy and Statecraft|1990|1|2|111-136|10.1080/09592299008405788|pub.1044845082|4;[Porter, Patrick]|[]|Diplomacy and Statecraft|2011|22|4|557-577|10.1080/09592296.2011.625803|pub.1048763295|3;[Baylis, John; Stoddart, Kristan]|[ur.014741310037.95; ur.011224140637.88]|Diplomacy and Statecraft|2012|23|2|331-346|10.1080/09592296.2012.679488|pub.1050776726|4;[Rosenberg, David Alan]|[]|International Security|1983|7|4|3|10.2307/2626731|pub.1070041581|126;[]|[]|The American Historical Review|1982||||10.1086/ahr/87.1.284-a|pub.1084586086|1;[French, David]|[]||2012||||10.1093/acprof:oso/9780199548231.001.0001|pub.1098715084|10;[Carley, Michael Jabara]|[ur.015766046053.69]|The International History Review|2019|41|4|1-34|10.1080/07075332.2018.1458043|pub.1103257217|1;[Leffler, Melvyn P.]|[ur.012450257320.69]||2017||||10.1515/9781400888061|pub.1106217727|4"
pub.1131645729,10.4324/9781003082910,Ethics and Nuclear Deterrence,,,2020,,,,,,,https://app.dimensions.ai/details/publication/pub.1131645729,0,
pub.1131636387,10.4324/9781003081111-3,Intellectuals and the Nuclear Deterrence System,,The Logic of Nuclear Terror,2020,,,15-46,"Kolkowicz, Roman",,,https://app.dimensions.ai/details/publication/pub.1131636387,0,
